Indicative,C1,C2,C3,C4,C5,C6,C7,C8
AB,0.4113451853634756,-0.8870509938297219,0.407527607079441,0.03132875068288543,1.0335671575672012,-1.394247839639668,1.1355015433398834,-0.0986063972387092
AR,0.1884921294897874,-0.1901291311244257,0.040260319096335144,0.409643055701978,-0.3074727112795656,-1.044083573755107,1.5075917992581132,0.06674866682125616
AG,-0.8609762081242682,-0.5664536389848336,1.2988212995352453,-0.21996693293179523,0.6434663520596957,1.01171393767273,0.7263311097829558,-1.0048778754363275
BC,-0.27963429011803514,-0.29547813757255037,1.3619092570259426,0.2050264463025739,-1.3231383360399487,-0.24694939812624292,-0.10100841326360734,0.46242278089180705
BH,-0.6052373970341928,0.31082500308560634,-0.7837173664150796,-0.0007796902689314735,-1.3440664386750205,0.5635895618214506,1.6564095091531668,-0.4915523271747987
BN,0.5009683441293463,-0.0020242735491023457,-1.1409087972415841,0.12961257747960767,0.5719736168503541,1.6006702339678145,1.318144150183283,-1.9262765408370952
BT,0.32821992288846347,0.5101314158660092,0.03411189904037597,0.3670036978436235,-0.07837607523774225,0.6639202784236518,1.116140533531095,1.9989155862151604
BR,0.8761901436087686,-0.371612703747386,-0.7089001337751136,-0.6320284200888923,0.3978749110895489,-0.436748326998183,-1.165305933774177,-0.21266391068793356
BV,0.15090205821984054,-0.27364137089452306,-0.723358014892511,0.8984019665511854,-0.16172942109530533,-1.8448003984506465,-0.9734281572462191,0.748723828339438
BZ,0.007030983923632157,-0.14005829414340337,0.502826067522755,-0.5964359134331647,0.6837375477625917,0.9350119432059166,-0.005781052571198756,1.927977922302368
CL,0.7269241228984995,0.2582983288553,-0.4393246634981006,0.28932713112641867,-0.7648339981130697,-1.012073855998457,-0.29456822040253333,-2.978957944485217
CS,0.5627548971183458,-0.5258069292830837,-0.9692367884431724,-0.5636352702632225,0.711582096101951,2.5219406070559782,-0.12549346396505268,1.142984280036274
CJ,-1.6841006397590441,1.5743829593001122,-1.2610684778911176,-3.683481905306765,1.5030696543465318,-0.20766908932187758,0.15245736563114434,-0.4630926529624017
CT,-0.6915938536973377,0.5993136158827255,-0.4496529487952784,-1.4226763226867747,0.9186123408760517,-2.6269953969778213,0.6740025227281674,0.8744525810655517
CV,1.178670595347157,0.33827598241181384,-0.8784157517465397,0.19091125019971705,0.11514714334637387,-0.1783572320762203,-0.5135613638938642,-0.4985062129836824
DB,0.31433292197518947,-0.5003731779017611,0.9146977878505756,0.7622163017930128,-0.45443613596932364,-0.9745086953586315,-0.3442816224489187,0.4386680126195343
DJ,-0.7875210242829207,-0.9083348028002526,1.7602292016193168,-1.1497573203902216,1.452842830872455,-0.689870104474439,0.28296737909174724,-0.10845759450405124
GL,-0.41205760612868536,-1.062356167570698,0.832649732356518,-0.8726335823335666,1.0646757536030031,0.6662860018623279,-0.5370584901582511,-0.8124415077159677
GR,1.021699388154492,0.2830913295251006,-0.3420707958773769,0.0020539521241468035,0.15822828080590387,0.3764613361465018,-1.5346377055110605,-0.5736903865452989
GJ,0.7005158574519926,-1.054387572409301,-0.48990289110839585,0.26838803422502255,0.46080934855501743,-0.49010854880035293,1.4848081711749832,0.47781533711447993
HR,0.373019313887588,-0.5137832538627326,-0.6232663046889226,-0.7196972137803679,0.3162730487433163,-0.7708524111841997,1.2092412603789289,-0.28102913002892876
HD,0.8395728680829899,-0.3752647026159896,-0.5960574135653973,1.1685641289239515,-0.025270318852643567,-0.62277416931485,1.9770350214630872,-0.5762467682997716
