Indicative,C1,C2,C3,C4,C5,C6,C7,C8
AB,0.2860865693001118,0.35402854363524383,0.05090055223669283,0.0002654858578456255,0.15553632446965054,0.12150255145115738,0.03167834501084116,1.6280384569150133e-06
AR,0.2310756090117662,0.06256356151142621,0.0019109348567574733,0.1746021005456972,0.05294812880112834,0.26209515653597426,0.21480163912841999,2.869608830380184e-06
AG,0.6068823545620565,0.06990486857646307,0.25034839177412177,0.006337348839765421,0.02919064492808783,0.03097836409359331,0.006276158388746002,8.186883716609981e-05
BC,0.13085933323118254,0.03888042734571167,0.5626573389173015,0.01125418955495057,0.25229239203481635,0.003772772347880734,0.0002481083287445262,3.5438239412008205e-05
BH,0.5155265950607407,0.036181613515643966,0.15669036717639878,1.3687193229325853e-07,0.21893280232734497,0.01652518200630827,0.05610962793947601,3.3675102154909517e-05
BN,0.3932978206897456,1.7088181359935585e-06,0.3697656993987942,0.0042117818795070735,0.044149192315458344,0.14843130791001286,0.03956664069103616,0.0005758482973097068
BT,0.4602598494553443,0.2958651582242986,0.0009011743055752489,0.09206291006786783,0.0022600082992600408,0.06961869604695423,0.07734163824327406,0.0016905653574256448
BR,0.7678018370939359,0.036752763191160824,0.09110586357382615,0.06391403562579366,0.013633750009374475,0.007052380316277789,0.019734890892669936,4.479296961323455e-06
BV,0.05573585119515792,0.048771296233154515,0.23215321341872788,0.31605037114675344,0.005513053063204684,0.3079384243764239,0.03370190996376762,0.000135880602810158
BZ,0.0002731852924087184,0.028846906143037195,0.2532704170574434,0.3145019060610536,0.22247118177728528,0.17859949457804655,2.6837455406013564e-06,0.0020342253451847
CL,0.7714929136386283,0.025921100974128503,0.05107974748025073,0.019552518527361267,0.0735458117702882,0.0552839411589432,0.0018408904932896322,0.0012830759571101427
CS,0.3556518329702986,0.08262197414248182,0.1912361789873872,0.05707598494270292,0.048967316832509836,0.26404442295094993,0.0002569987989068314,0.00014529037476286276
CJ,0.46107978499523883,0.10723022892250964,0.04686419191140735,0.3528805221392873,0.031627729170696034,0.0002591818118836908,5.490845406783641e-05,3.452594909326072e-06
CT,0.3769729073619111,0.0753308122651109,0.028885944545798306,0.2552058950505788,0.05727198523154582,0.20107001817548395,0.005202754422380709,5.968294719040233e-05
CV,0.8839860807939771,0.01937578596001005,0.0889988818977924,0.0037101731414248577,0.0007265017450740364,0.0007482776619635151,0.0024386395293806984,1.5659270377328843e-05
DB,0.21263468288901893,0.14338340176087522,0.326387422333604,0.20002369051417568,0.03827100601963391,0.07555211146733772,0.0037066744135397897,4.101060181480626e-05
DJ,0.34200343237487535,0.12107501509950998,0.3097193836700693,0.11662431963899957,0.10023357431825786,0.00970200749469176,0.0006416250177988453,6.423857974636438e-07
GL,0.20312422824509296,0.3592879212508655,0.1503468536553138,0.14574051777517555,0.11677513626571476,0.019633062123038864,0.005014081917214252,7.819876758440046e-05
GR,0.9253692174439119,0.018905074365739124,0.01880288849135644,5.983014014806848e-07,0.00191120290960441,0.004644407791900823,0.030337717620718737,2.8893075367170058e-05
GJ,0.5447530369600503,0.32841330806822916,0.04829559442320768,0.012792653089267565,0.020299067048035174,0.009857552043799312,0.03556368952256492,2.5098844845994354e-05
HR,0.3356848416010603,0.16946712208685508,0.1698791901475225,0.19991221946844256,0.02078084771606515,0.052994691385261854,0.051262218910664015,1.8868684128561055e-05
HD,0.6428805284807122,0.03417790093532752,0.05873723000565905,0.19924580597367325,5.0153901436458877e-05,0.013076618933202666,0.05180177012195627,2.999164803259859e-05
IL,0.8273716894586374,0.10782855591285889,0.02554739681072864,0.03661209757538748,1.2515521558069524e-05,0.00013750121028912154,0.0024727689796088565,1.7474530931571744e-05
IS,0.19151044151932634,0.7273318562696603,0.059763553446767606,0.019518297842829425,0.0005591050410559708,2.652344616596487e-05,0.0012899949305112367,2.275036831711292e-07
